evaluations raw_y
1 32.0000000000
65 34.0000000000
369 36.0000000000
610 38.0000000000
688 40.0000000000
1175 42.0000000000
5052 40.0000000000
evaluations raw_y
1 26.0000000000
3 28.0000000000
5 32.0000000000
148 38.0000000000
385 40.0000000000
5052 40.0000000000
evaluations raw_y
1 28.0000000000
40 32.0000000000
87 34.0000000000
294 36.0000000000
525 38.0000000000
665 40.0000000000
844 42.0000000000
936 44.0000000000
5052 44.0000000000
evaluations raw_y
1 24.0000000000
2 28.0000000000
9 30.0000000000
16 36.0000000000
889 38.0000000000
1138 40.0000000000
1496 42.0000000000
3123 44.0000000000
5052 44.0000000000
evaluations raw_y
1 18.0000000000
2 24.0000000000
7 26.0000000000
26 28.0000000000
83 30.0000000000
113 32.0000000000
214 34.0000000000
352 36.0000000000
440 38.0000000000
489 40.0000000000
545 42.0000000000
679 44.0000000000
5052 44.0000000000
evaluations raw_y
1 24.0000000000
4 28.0000000000
27 34.0000000000
75 36.0000000000
268 38.0000000000
510 40.0000000000
828 42.0000000000
5052 42.0000000000
evaluations raw_y
1 26.0000000000
3 30.0000000000
25 32.0000000000
101 34.0000000000
138 36.0000000000
594 38.0000000000
1109 40.0000000000
5052 38.0000000000
evaluations raw_y
1 24.0000000000
3 32.0000000000
106 34.0000000000
183 36.0000000000
288 38.0000000000
393 40.0000000000
605 42.0000000000
5052 42.0000000000
evaluations raw_y
1 26.0000000000
4 28.0000000000
6 30.0000000000
88 34.0000000000
384 36.0000000000
785 38.0000000000
906 40.0000000000
1643 42.0000000000
5052 42.0000000000
evaluations raw_y
1 28.0000000000
2 30.0000000000
30 32.0000000000
31 34.0000000000
74 36.0000000000
145 38.0000000000
187 40.0000000000
249 42.0000000000
452 44.0000000000
5052 44.0000000000
evaluations raw_y
1 24.0000000000
4 26.0000000000
5 28.0000000000
8 32.0000000000
99 34.0000000000
208 36.0000000000
277 38.0000000000
544 40.0000000000
3312 42.0000000000
5052 42.0000000000
evaluations raw_y
1 24.0000000000
3 26.0000000000
10 28.0000000000
12 30.0000000000
24 34.0000000000
138 36.0000000000
358 38.0000000000
443 40.0000000000
608 42.0000000000
5052 42.0000000000
evaluations raw_y
1 28.0000000000
12 30.0000000000
108 32.0000000000
155 36.0000000000
332 38.0000000000
484 40.0000000000
5052 38.0000000000
evaluations raw_y
1 30.0000000000
18 32.0000000000
106 34.0000000000
148 36.0000000000
261 38.0000000000
372 40.0000000000
643 42.0000000000
5052 42.0000000000
evaluations raw_y
1 22.0000000000
2 28.0000000000
7 32.0000000000
121 34.0000000000
138 36.0000000000
292 38.0000000000
339 40.0000000000
629 42.0000000000
993 44.0000000000
1102 46.0000000000
5052 44.0000000000
evaluations raw_y
1 26.0000000000
3 28.0000000000
8 32.0000000000
46 34.0000000000
172 36.0000000000
223 38.0000000000
327 40.0000000000
538 42.0000000000
3464 44.0000000000
5052 42.0000000000
evaluations raw_y
1 22.0000000000
4 24.0000000000
5 26.0000000000
6 34.0000000000
354 36.0000000000
555 38.0000000000
752 40.0000000000
5052 40.0000000000
evaluations raw_y
1 20.0000000000
2 28.0000000000
11 30.0000000000
13 32.0000000000
88 34.0000000000
128 36.0000000000
182 38.0000000000
613 40.0000000000
731 42.0000000000
5052 40.0000000000
evaluations raw_y
1 28.0000000000
12 30.0000000000
16 34.0000000000
147 36.0000000000
175 38.0000000000
284 40.0000000000
406 42.0000000000
519 44.0000000000
1270 46.0000000000
1472 48.0000000000
5052 46.0000000000
evaluations raw_y
1 22.0000000000
2 24.0000000000
4 28.0000000000
11 32.0000000000
33 36.0000000000
185 38.0000000000
285 40.0000000000
436 42.0000000000
5052 42.0000000000
