evaluations raw_y
1 1.4060742407
10 1.8573551263
213 1.9747235387
214 2.5150905433
717 2.6427061311
5002 1.4450867052
evaluations raw_y
1 1.7730496454
4 2.2281639929
1431 2.4366471735
2310 2.5562372188
4158 2.8344671202
5002 0.6971556051
evaluations raw_y
1 0.9130752374
3 0.9520182788
4 1.0072522160
7 1.0137875101
12 1.1649580615
290 1.3007284079
316 1.4863258026
317 1.6254876463
338 1.7531556802
344 2.2935779817
518 2.3992322457
3354 2.4366471735
5002 1.2100677638
evaluations raw_y
1 0.7400828893
2 1.3812154696
3 1.4450867052
9 1.8796992481
250 1.9025875190
281 2.0525451560
564 2.1079258010
684 2.1663778163
787 2.1968365554
819 2.2281639929
925 2.2603978300
1066 2.7839643653
5002 0.7807620237
evaluations raw_y
1 1.3455328310
3 1.5006002401
5 1.6425755585
18 1.6778523490
38 2.0798668885
309 2.1367521368
409 2.2281639929
410 2.4366471735
1310 2.8868360277
5002 1.2487512488
evaluations raw_y
1 1.1649580615
5 1.4318442153
121 1.5299877601
123 1.8573551263
236 2.0259319287
239 2.3277467412
261 2.6427061311
3171 2.8344671202
5002 1.4318442153
evaluations raw_y
1 0.8674531575
2 1.2588116818
3 1.4060742407
8 1.5299877601
9 1.6960651289
23 1.8142235123
184 1.8355359765
325 1.8573551263
396 1.9500780031
416 2.0259319287
571 2.0525451560
756 2.3992322457
2269 2.6427061311
2539 2.8868360277
5002 1.3691128149
evaluations raw_y
1 1.6254876463
1239 1.7146776406
1270 1.8796992481
1313 1.9260400616
1433 2.0259319287
2099 2.5562372188
2947 2.6881720430
5002 0.8090614887
evaluations raw_y
1 1.5451174289
18 1.8142235123
32 1.8355359765
71 2.0798668885
107 2.2281639929
1051 2.3277467412
2250 2.5562372188
3412 2.8868360277
5002 1.0692899914
evaluations raw_y
1 0.7263219059
2 0.7471607890
3 1.4585764294
5 1.9025875190
269 1.9500780031
431 2.0259319287
439 2.0525451560
711 2.2935779817
1772 2.5987525988
3244 2.9411764706
5002 1.0072522160
evaluations raw_y
1 1.1916110582
4 1.3812154696
8 1.7531556802
12 1.8573551263
447 1.8796992481
460 1.9260400616
542 2.0525451560
1376 2.2935779817
1819 2.5150905433
3767 2.7352297593
5002 1.0008006405
evaluations raw_y
1 0.7163323782
2 1.1478420569
4 1.3691128149
7 1.8142235123
276 1.8355359765
370 1.8796992481
533 2.1968365554
646 2.3277467412
1337 2.5150905433
2844 2.6881720430
4448 2.7839643653
5002 0.9520182788
evaluations raw_y
1 0.6940588562
2 1.0917030568
3 1.4863258026
4 2.3629489603
417 2.5150905433
954 2.6427061311
4153 3.0562347188
5002 1.1230907457
evaluations raw_y
1 0.6849315068
2 1.0339123242
3 1.3572204126
8 1.8142235123
129 2.0259319287
1102 2.0798668885
1252 2.2281639929
1357 2.3277467412
3665 2.3992322457
4298 2.4752475248
5002 0.7730364873
evaluations raw_y
1 0.7926442613
2 0.8440243079
3 0.9578544061
4 1.6960651289
11 2.0798668885
117 2.1367521368
170 2.4366471735
633 2.6427061311
1386 2.7839643653
5002 1.7730496454
evaluations raw_y
1 0.7543753772
3 0.9349289454
4 1.1478420569
5 1.2195121951
7 1.3455328310
9 1.4188422247
14 1.5006002401
298 1.5762925599
315 1.8796992481
380 1.9260400616
412 2.2935779817
1247 2.3277467412
2498 2.7839643653
5002 1.0339123242
evaluations raw_y
1 1.2899896801
3 1.5006002401
84 1.5451174289
90 1.9260400616
175 1.9747235387
477 2.0798668885
524 2.3629489603
667 2.4752475248
1120 2.5987525988
5002 1.6254876463
evaluations raw_y
1 1.4060742407
7 1.4450867052
11 1.5451174289
223 1.6254876463
227 1.6600265604
229 1.8355359765
234 1.8796992481
373 1.9500780031
529 2.1663778163
692 2.2281639929
776 2.3277467412
1245 2.3992322457
1602 2.4752475248
1973 2.5562372188
5002 2.1079258010
evaluations raw_y
1 0.6731287022
2 1.3812154696
6 1.8796992481
152 1.9260400616
375 2.2935779817
901 2.4366471735
1034 2.9411764706
5002 0.7331378299
evaluations raw_y
1 1.3812154696
6 1.4318442153
14 1.4585764294
15 1.8142235123
18 1.9025875190
21 2.1079258010
166 2.1367521368
167 2.2603978300
999 2.5150905433
2224 2.8344671202
5002 1.0407993339
