evaluations raw_y
1 32.0000000000
902 34.0000000000
995 36.0000000000
2421 38.0000000000
5000 26.0000000000
evaluations raw_y
1 24.0000000000
10 26.0000000000
21 28.0000000000
113 30.0000000000
115 32.0000000000
166 34.0000000000
899 36.0000000000
5000 22.0000000000
evaluations raw_y
1 28.0000000000
58 30.0000000000
97 32.0000000000
530 34.0000000000
1587 36.0000000000
5000 22.0000000000
evaluations raw_y
1 22.0000000000
2 30.0000000000
331 32.0000000000
1124 34.0000000000
1732 36.0000000000
5000 26.0000000000
evaluations raw_y
1 26.0000000000
2 28.0000000000
157 30.0000000000
236 32.0000000000
411 34.0000000000
1697 38.0000000000
2616 42.0000000000
5000 26.0000000000
evaluations raw_y
1 32.0000000000
2900 34.0000000000
4192 36.0000000000
4200 38.0000000000
5000 24.0000000000
evaluations raw_y
1 20.0000000000
2 26.0000000000
111 28.0000000000
166 30.0000000000
340 32.0000000000
400 34.0000000000
632 36.0000000000
1701 38.0000000000
5000 34.0000000000
evaluations raw_y
1 26.0000000000
2 34.0000000000
4690 36.0000000000
5000 26.0000000000
evaluations raw_y
1 18.0000000000
2 26.0000000000
600 28.0000000000
830 30.0000000000
2179 32.0000000000
2679 34.0000000000
2683 36.0000000000
5000 22.0000000000
evaluations raw_y
1 26.0000000000
4 28.0000000000
169 30.0000000000
172 32.0000000000
362 34.0000000000
860 36.0000000000
3609 38.0000000000
4180 40.0000000000
5000 24.0000000000
evaluations raw_y
1 32.0000000000
456 34.0000000000
1769 36.0000000000
2226 38.0000000000
5000 28.0000000000
evaluations raw_y
1 22.0000000000
2 26.0000000000
99 28.0000000000
312 30.0000000000
403 34.0000000000
767 36.0000000000
2578 38.0000000000
5000 28.0000000000
evaluations raw_y
1 32.0000000000
917 34.0000000000
1052 38.0000000000
5000 30.0000000000
evaluations raw_y
1 28.0000000000
347 30.0000000000
367 32.0000000000
477 34.0000000000
1824 38.0000000000
5000 28.0000000000
evaluations raw_y
1 20.0000000000
13 22.0000000000
43 24.0000000000
955 26.0000000000
974 28.0000000000
1036 30.0000000000
1162 32.0000000000
1210 34.0000000000
1264 36.0000000000
2954 38.0000000000
5000 20.0000000000
evaluations raw_y
1 28.0000000000
1528 30.0000000000
1582 32.0000000000
1704 34.0000000000
1841 36.0000000000
2507 38.0000000000
5000 28.0000000000
evaluations raw_y
1 26.0000000000
167 28.0000000000
178 30.0000000000
180 32.0000000000
224 34.0000000000
225 36.0000000000
5000 30.0000000000
evaluations raw_y
1 28.0000000000
3 30.0000000000
54 32.0000000000
66 34.0000000000
660 38.0000000000
5000 20.0000000000
evaluations raw_y
1 26.0000000000
149 28.0000000000
153 32.0000000000
163 36.0000000000
505 38.0000000000
5000 26.0000000000
evaluations raw_y
1 32.0000000000
789 34.0000000000
834 36.0000000000
2154 38.0000000000
5000 22.0000000000
