evaluations raw_y
1 0.8973438622
2 1.2588116818
6 1.6778523490
32 1.7146776406
39 1.9025875190
118 2.0798668885
515 2.1079258010
895 2.1367521368
1437 2.2281639929
1592 2.7352297593
5000 0.7196315486
evaluations raw_y
1 0.5805852299
2 0.7580351728
3 1.1312217195
4 1.4188422247
14 1.4585764294
44 1.5006002401
50 2.0798668885
263 2.1367521368
556 2.5987525988
1486 2.6427061311
1560 2.9411764706
5000 0.8871540099
evaluations raw_y
1 1.1825922422
4 1.2899896801
6 1.3691128149
12 1.4450867052
22 1.8355359765
102 1.9260400616
107 2.1663778163
358 2.5562372188
1369 2.8868360277
5000 0.8871540099
evaluations raw_y
1 1.7337031900
50 2.0259319287
55 2.1968365554
156 2.2281639929
811 2.3992322457
5000 1.0841283608
evaluations raw_y
1 1.0008006405
2 1.5605493134
34 1.6087516088
38 1.6254876463
76 1.6600265604
84 2.1367521368
937 2.3629489603
3020 2.4366471735
3911 2.6427061311
5000 1.3116474292
evaluations raw_y
1 0.5960896519
2 1.6425755585
37 1.7934002869
52 2.3277467412
2348 2.3629489603
2723 2.6427061311
5000 1.2100677638
evaluations raw_y
1 1.3116474292
7 1.4060742407
10 1.4585764294
15 1.7531556802
42 2.0798668885
511 2.1663778163
674 2.4752475248
3707 2.8344671202
5000 1.5451174289
evaluations raw_y
1 1.3572204126
8 1.4723203769
25 2.0000000000
67 2.5987525988
1236 2.6427061311
5000 0.6819421713
evaluations raw_y
1 1.3227513228
2 1.4585764294
7 1.5605493134
31 1.6600265604
48 1.8142235123
55 1.9260400616
169 2.1663778163
228 2.1968365554
493 2.2281639929
1212 2.2935779817
1246 2.4366471735
2574 2.5150905433
3006 2.8344671202
5000 0.8722958828
evaluations raw_y
1 0.6971556051
2 0.8261731659
3 0.9405568096
4 1.1478420569
6 1.5923566879
44 2.0259319287
148 2.0798668885
152 2.3277467412
184 2.5562372188
5000 1.0993843448
evaluations raw_y
1 0.8626639061
2 1.1737089202
4 1.4450867052
8 1.4863258026
10 1.6087516088
47 1.6254876463
52 1.8796992481
197 1.9747235387
360 2.3629489603
723 2.4752475248
3323 2.6427061311
5000 2.1079258010
evaluations raw_y
1 1.6960651289
4 1.8142235123
57 2.0525451560
132 2.1968365554
416 2.2603978300
512 2.3629489603
1192 2.4366471735
2196 2.4752475248
5000 1.0766580534
evaluations raw_y
1 1.2690355330
2 1.3227513228
6 1.4060742407
10 1.9260400616
19 2.1968365554
246 2.5562372188
5000 1.0620220901
evaluations raw_y
1 1.4863258026
3 1.9500780031
142 2.0525451560
164 2.1968365554
1327 2.2603978300
1637 2.2935779817
2117 2.4752475248
3962 2.6427061311
5000 0.8871540099
evaluations raw_y
1 1.0477787091
2 1.1649580615
3 1.2291052114
5 1.3455328310
7 2.1079258010
470 2.2281639929
618 2.5150905433
3375 2.6427061311
5000 0.5617977528
evaluations raw_y
1 1.3572204126
4 1.9260400616
22 1.9747235387
54 2.1367521368
722 2.3277467412
1141 2.4752475248
2326 2.7352297593
5000 1.2899896801
evaluations raw_y
1 0.7846829881
2 0.9881422925
3 1.5299877601
18 1.8573551263
85 1.9025875190
87 2.0000000000
129 2.0525451560
220 2.3277467412
465 2.3992322457
636 2.5150905433
1878 2.7839643653
5000 1.0548523207
evaluations raw_y
1 1.0548523207
2 1.8142235123
20 2.0259319287
33 2.0525451560
188 2.4752475248
1690 2.8344671202
3309 3.0562347188
5000 0.8350033400
evaluations raw_y
1 0.7507507508
2 0.7768800497
3 1.5923566879
23 1.7730496454
162 1.8142235123
172 1.9500780031
243 2.2603978300
418 2.3277467412
677 2.3992322457
852 2.5987525988
1575 2.9411764706
1623 3.1172069825
5000 0.8440243079
evaluations raw_y
1 0.5763024435
2 0.9578544061
3 1.2487512488
8 1.4863258026
12 1.6960651289
21 1.7146776406
92 2.8344671202
5000 0.7436049970
