evaluations raw_y
1 1.1737089202
2 1.3007284079
4 1.6600265604
63 1.8796992481
115 2.0525451560
118 2.1079258010
153 2.4752475248
1573 2.5150905433
2758 2.7839643653
5002 0.9758001561
evaluations raw_y
1 1.5451174289
6 1.5605493134
26 1.9747235387
34 2.1079258010
60 2.1968365554
718 2.5987525988
5002 0.9293680297
evaluations raw_y
1 0.7436049970
2 1.1563367253
6 1.4318442153
7 1.4585764294
13 1.4723203769
24 1.4863258026
27 2.0525451560
66 2.1079258010
127 2.1367521368
438 2.3277467412
1559 2.4366471735
2569 2.8344671202
5002 1.2195121951
evaluations raw_y
1 1.2794268168
5 1.5299877601
7 1.6087516088
43 1.6254876463
49 1.6960651289
54 2.1367521368
230 2.3277467412
1856 2.3629489603
2953 2.6427061311
5002 0.8394895903
evaluations raw_y
1 1.5605493134
6 1.6087516088
10 1.6960651289
99 1.8796992481
421 2.1079258010
435 2.1663778163
790 2.2603978300
1236 2.3277467412
1380 2.4752475248
5002 1.0271158587
evaluations raw_y
1 1.3691128149
3 1.6425755585
52 1.6600265604
54 1.9260400616
594 2.0000000000
596 2.5150905433
5002 1.3007284079
evaluations raw_y
1 1.0407993339
2 1.5923566879
27 1.8573551263
59 1.9260400616
105 1.9500780031
208 2.0525451560
277 2.1079258010
729 2.6881720430
5002 1.2588116818
evaluations raw_y
1 1.0072522160
3 1.9025875190
153 2.3629489603
572 2.7352297593
5002 1.2794268168
evaluations raw_y
1 1.7337031900
6 1.9500780031
389 2.1663778163
1062 2.1968365554
1870 2.8868360277
5002 1.0692899914
evaluations raw_y
1 0.7066139062
2 1.2794268168
13 1.3812154696
19 1.6254876463
38 1.9500780031
65 2.0259319287
137 2.2281639929
220 2.2935779817
235 2.5150905433
292 2.6427061311
1824 2.9411764706
5002 1.2487512488
evaluations raw_y
1 0.9578544061
2 1.2291052114
3 1.2588116818
11 1.5451174289
17 1.6778523490
40 2.0000000000
1139 2.1367521368
1361 2.2603978300
1730 2.3277467412
2346 2.3629489603
3775 2.4752475248
5002 1.0766580534
evaluations raw_y
1 1.0766580534
3 1.2487512488
5 1.2588116818
9 1.4060742407
12 1.6087516088
140 1.7531556802
149 1.8355359765
165 2.0525451560
574 2.0798668885
681 2.1079258010
1881 2.2935779817
2568 2.5987525988
4922 2.7839643653
5002 0.5120852110
evaluations raw_y
1 1.2007684918
10 1.5762925599
67 1.8796992481
270 2.3277467412
1682 2.3992322457
5002 0.8771929825
evaluations raw_y
1 1.1478420569
2 1.5923566879
252 1.6254876463
281 1.6600265604
319 1.6960651289
343 1.9500780031
520 2.0525451560
524 2.2603978300
1578 2.3277467412
4491 2.7352297593
5002 0.9758001561
evaluations raw_y
1 1.6254876463
8 1.8142235123
3056 1.8796992481
3126 1.9500780031
4149 1.9747235387
4279 2.0259319287
4306 2.5562372188
5002 0.9881422925
evaluations raw_y
1 1.4585764294
21 1.5762925599
23 1.6600265604
37 1.7531556802
43 1.8796992481
55 2.2603978300
1992 2.3277467412
2641 2.3629489603
2927 2.5562372188
5002 0.9130752374
evaluations raw_y
1 0.8175277959
2 1.8573551263
53 1.9747235387
65 2.1968365554
77 2.3992322457
124 2.8344671202
5002 0.7768800497
evaluations raw_y
1 1.2794268168
2 1.8142235123
34 1.9260400616
120 1.9747235387
191 2.0259319287
338 2.1968365554
742 2.2281639929
1023 2.4366471735
3145 2.4752475248
4490 2.5150905433
4766 2.6881720430
5002 1.0917030568
evaluations raw_y
1 0.8305647841
2 1.0841283608
3 1.7337031900
103 2.0525451560
111 2.3277467412
229 2.4366471735
5002 0.6297229219
evaluations raw_y
1 1.6087516088
6 1.6600265604
15 1.7730496454
32 2.0525451560
51 2.1663778163
1569 2.1968365554
1941 2.2935779817
2656 2.4752475248
5002 1.3935340022
