evaluations raw_y
1 0.9881422925
2 1.0993843448
4 1.3007284079
11 1.4723203769
15 1.7730496454
27 1.9025875190
30 1.9260400616
45 2.0259319287
62 2.7839643653
5002 0.9881422925
evaluations raw_y
1 1.2291052114
3 1.5299877601
4 1.6960651289
17 1.9025875190
300 2.0525451560
406 2.1079258010
839 2.1968365554
1004 2.3277467412
1505 2.3992322457
3472 2.4366471735
3840 2.5987525988
4583 2.6427061311
5002 0.8440243079
evaluations raw_y
1 1.2291052114
2 1.6425755585
15 1.9747235387
87 2.0000000000
589 2.0798668885
663 2.1663778163
771 2.1968365554
1114 2.2603978300
1290 2.4752475248
5002 1.2794268168
evaluations raw_y
1 1.1394712853
4 1.2100677638
6 1.8142235123
13 1.9025875190
33 2.0000000000
43 2.0798668885
45 2.2603978300
51 2.6427061311
2760 2.6881720430
5002 0.8048937540
evaluations raw_y
1 1.7531556802
25 1.7934002869
38 2.0000000000
116 2.2281639929
704 2.4366471735
5002 1.1916110582
evaluations raw_y
1 1.6600265604
18 2.1663778163
32 2.5987525988
1449 2.6881720430
5002 1.1649580615
evaluations raw_y
1 0.9944311854
2 1.0917030568
3 1.5605493134
7 1.6778523490
18 2.1663778163
57 2.3277467412
3385 2.5562372188
5002 0.9077705156
evaluations raw_y
1 1.2487512488
3 1.3691128149
21 1.5451174289
39 1.5762925599
75 1.8796992481
184 2.1663778163
209 2.1968365554
232 2.3629489603
235 2.4752475248
2843 2.5150905433
3380 3.0562347188
5002 1.2899896801
evaluations raw_y
1 0.8532423208
2 1.1563367253
5 1.2794268168
9 1.4585764294
38 1.6254876463
69 1.6960651289
88 1.7934002869
125 1.8142235123
285 2.2281639929
1235 2.3629489603
2265 2.5562372188
5002 1.1478420569
evaluations raw_y
1 1.6254876463
4 2.0259319287
24 2.3992322457
2293 2.9976019185
5002 1.8142235123
evaluations raw_y
1 1.2690355330
2 1.3572204126
8 1.5299877601
28 1.6425755585
31 1.6600265604
35 1.8796992481
71 1.9500780031
73 1.9747235387
98 2.0000000000
133 2.9411764706
5002 1.2690355330
evaluations raw_y
1 1.2291052114
9 1.3227513228
11 1.8573551263
131 1.9025875190
135 2.1663778163
164 2.1968365554
641 2.3992322457
1114 2.9411764706
5002 1.5299877601
evaluations raw_y
1 0.8261731659
2 1.0008006405
3 1.3227513228
19 1.4585764294
41 1.5605493134
47 1.6087516088
61 1.8142235123
164 1.8796992481
242 1.9260400616
473 2.4752475248
3479 2.5987525988
5002 0.5385609651
evaluations raw_y
1 0.6879471657
2 1.2899896801
3 1.3812154696
7 1.8142235123
11 1.8573551263
158 1.9025875190
637 2.0000000000
1406 2.0259319287
1943 2.2281639929
2853 2.3992322457
5002 0.8722958828
evaluations raw_y
1 1.5605493134
35 1.9747235387
124 2.2281639929
5002 0.8132726090
evaluations raw_y
1 0.7926442613
2 0.9184423218
4 1.0008006405
5 1.2291052114
6 1.5923566879
16 1.9025875190
41 2.3277467412
85 2.3992322457
5002 0.9944311854
evaluations raw_y
1 0.5784359093
2 1.1394712853
3 1.5762925599
4 1.8142235123
36 1.9747235387
496 2.0000000000
500 2.2603978300
4561 2.5987525988
4744 2.6881720430
4822 2.8868360277
5002 1.3572204126
evaluations raw_y
1 1.0204081633
2 1.0620220901
5 1.1071744907
8 1.2899896801
11 1.3935340022
12 1.5299877601
34 1.6425755585
40 1.8142235123
65 2.1663778163
92 2.3992322457
5002 1.4863258026
evaluations raw_y
1 1.2291052114
7 1.2794268168
12 1.5006002401
72 1.6254876463
196 1.6960651289
201 1.9500780031
5002 0.7002801120
evaluations raw_y
1 1.0204081633
3 1.0620220901
5 1.1825922422
7 1.8796992481
8 2.1079258010
745 2.4366471735
1094 2.7839643653
4370 3.1172069825
5002 1.0271158587
