evaluations raw_y
1 1.1230907457
3 1.4450867052
11 2.1663778163
44 2.1968365554
83 2.2935779817
270 3.0562347188
5000 0.9881422925
evaluations raw_y
1 1.4188422247
3 1.4450867052
8 1.5762925599
39 1.7146776406
64 1.8796992481
72 2.1968365554
141 2.5150905433
5000 0.8579272478
evaluations raw_y
1 0.8132726090
2 1.5151515152
7 1.5451174289
11 1.6778523490
38 1.7934002869
41 1.8796992481
54 2.0259319287
91 2.0525451560
262 2.1367521368
503 2.1663778163
639 2.2281639929
694 2.2935779817
1962 2.5150905433
2842 2.6881720430
5000 0.8218277449
evaluations raw_y
1 1.0620220901
3 1.1230907457
7 1.5151515152
18 1.5451174289
28 1.8355359765
34 2.1079258010
257 2.2935779817
1145 2.4366471735
1574 2.5562372188
4494 2.5987525988
5000 1.0620220901
evaluations raw_y
1 2.0525451560
52 2.1079258010
486 2.3277467412
1235 2.3629489603
3619 2.4366471735
4027 2.5562372188
5000 0.9025270758
evaluations raw_y
1 1.9747235387
123 2.3992322457
475 2.5150905433
840 2.8344671202
5000 0.8440243079
evaluations raw_y
1 1.1230907457
3 1.2388503469
5 1.2899896801
11 1.4188422247
19 1.6087516088
21 1.8573551263
109 2.0000000000
311 2.4752475248
1851 2.5150905433
5000 1.1394712853
evaluations raw_y
1 0.6971556051
2 0.9819324430
8 1.2690355330
10 1.2794268168
11 1.3227513228
19 1.3455328310
25 1.6254876463
73 1.8796992481
164 1.9025875190
293 2.3629489603
355 2.4366471735
439 2.8868360277
1115 2.9976019185
5000 1.7934002869
evaluations raw_y
1 1.6254876463
28 1.6425755585
52 1.8573551263
71 2.1367521368
84 2.4752475248
2113 2.7352297593
5000 0.7580351728
evaluations raw_y
1 1.0072522160
2 1.2100677638
9 1.8355359765
120 2.3992322457
189 2.4366471735
767 2.6427061311
1768 2.7839643653
2229 2.9411764706
5000 0.9881422925
evaluations raw_y
1 1.2487512488
3 1.5151515152
4 2.2281639929
223 2.5150905433
803 2.5987525988
2904 2.8868360277
5000 1.0841283608
evaluations raw_y
1 1.2195121951
2 1.3935340022
7 1.7730496454
27 1.9260400616
152 2.1079258010
279 2.3629489603
826 2.4752475248
1189 2.8344671202
5000 0.9637625289
evaluations raw_y
1 1.5762925599
27 1.7337031900
41 1.9500780031
83 2.6881720430
2235 2.9976019185
5000 1.6960651289
evaluations raw_y
1 1.0692899914
2 1.1478420569
5 1.4723203769
14 1.5451174289
18 1.6600265604
32 2.0798668885
157 2.1367521368
305 2.3277467412
332 2.6881720430
5000 1.0072522160
evaluations raw_y
1 0.8048937540
2 0.8973438622
5 1.1394712853
10 1.6087516088
14 2.0259319287
157 2.2935779817
203 2.3629489603
920 2.5150905433
5000 1.4585764294
evaluations raw_y
1 1.2195121951
2 1.2690355330
3 1.3812154696
7 1.8355359765
13 2.0000000000
581 2.0525451560
743 2.1663778163
1088 2.3277467412
1272 2.3992322457
5000 0.5022097228
evaluations raw_y
1 0.7730364873
2 1.3007284079
8 1.7337031900
46 1.8142235123
49 1.8796992481
107 2.4366471735
1548 2.7352297593
5000 1.2794268168
evaluations raw_y
1 1.3812154696
2 1.6778523490
18 1.8573551263
44 1.8796992481
66 2.1079258010
82 2.1367521368
85 2.1663778163
90 2.6881720430
3867 2.7352297593
5000 1.7531556802
evaluations raw_y
1 1.4585764294
6 1.8355359765
77 2.1367521368
457 2.1663778163
476 2.2935779817
1099 2.4752475248
2081 2.6881720430
5000 1.3116474292
evaluations raw_y
1 0.9238728751
2 1.3572204126
6 1.9260400616
100 2.0525451560
202 2.3992322457
4985 2.4752475248
5000 0.8394895903
