evaluations raw_y
1 0.6561679790
2 1.5299877601
10 1.8355359765
366 1.9260400616
753 2.0525451560
805 2.1663778163
1155 2.1968365554
2814 2.2603978300
5002 1.3812154696
evaluations raw_y
1 1.2007684918
7 1.5151515152
191 1.8573551263
468 2.3992322457
652 2.4752475248
1233 2.5987525988
4362 2.8344671202
5002 1.6087516088
evaluations raw_y
1 2.2281639929
4506 2.4752475248
5002 1.1563367253
evaluations raw_y
1 0.6480041472
2 1.1394712853
4 1.2588116818
5 1.4723203769
7 1.9747235387
37 2.1663778163
57 2.4752475248
5002 0.6348400203
evaluations raw_y
1 1.2100677638
6 1.3227513228
9 1.5299877601
19 1.5762925599
119 1.7730496454
178 1.9025875190
195 2.0259319287
224 2.3992322457
1190 2.7839643653
5002 1.3572204126
evaluations raw_y
1 1.0993843448
3 1.9260400616
31 2.3629489603
2030 2.9411764706
5002 0.8626639061
evaluations raw_y
1 1.0993843448
4 1.5299877601
9 1.6600265604
23 2.1079258010
35 2.2935779817
106 2.3629489603
2767 2.4366471735
5002 1.1230907457
evaluations raw_y
1 2.6881720430
5002 1.6254876463
evaluations raw_y
1 1.4060742407
2 1.4585764294
27 1.6087516088
29 1.6960651289
124 2.0525451560
163 2.1663778163
192 2.4752475248
5002 1.0477787091
evaluations raw_y
1 0.7926442613
2 0.8175277959
3 1.1394712853
6 1.5299877601
9 1.7337031900
82 1.7934002869
95 1.8142235123
102 1.9025875190
197 2.0259319287
251 2.0525451560
909 2.4366471735
2622 2.4752475248
3752 2.5987525988
4898 2.7352297593
5002 1.1916110582
evaluations raw_y
1 1.6254876463
60 1.7146776406
124 1.8355359765
274 2.1968365554
865 2.2281639929
884 2.2935779817
2318 2.3277467412
2562 2.5562372188
4674 2.5987525988
5002 1.0917030568
evaluations raw_y
1 0.7196315486
2 1.4318442153
24 1.9025875190
1197 1.9500780031
1707 1.9747235387
1888 2.0259319287
1893 2.5987525988
1933 2.6881720430
2032 3.0562347188
5002 0.8218277449
evaluations raw_y
1 1.2100677638
4 1.5006002401
18 1.5762925599
19 1.6960651289
45 1.7531556802
47 1.9500780031
136 2.2281639929
347 2.3992322457
582 2.5987525988
882 2.8868360277
5002 0.5763024435
evaluations raw_y
1 1.2690355330
4 1.3116474292
5 1.4863258026
25 1.5451174289
31 1.6254876463
34 1.7146776406
44 1.8355359765
49 1.9025875190
1584 2.0259319287
2108 2.1968365554
2286 2.2603978300
2406 2.5562372188
4072 2.5987525988
5002 0.8440243079
evaluations raw_y
1 1.3935340022
14 1.4188422247
15 2.1079258010
205 2.2281639929
1777 2.4366471735
5002 0.5206164098
evaluations raw_y
1 0.6100536847
2 0.9944311854
3 1.2588116818
4 1.3812154696
33 1.6778523490
4722 1.8573551263
5002 0.9944311854
evaluations raw_y
1 0.8440243079
3 1.2487512488
11 1.6425755585
37 1.6778523490
47 1.7531556802
92 1.8796992481
383 2.0000000000
630 2.1367521368
995 2.1968365554
996 2.3629489603
1712 2.4752475248
5002 1.2487512488
evaluations raw_y
1 0.7580351728
2 1.3455328310
20 1.3572204126
94 1.4863258026
110 1.8573551263
164 1.9260400616
197 2.0259319287
288 2.1079258010
312 2.4366471735
727 2.5150905433
2474 2.5562372188
5002 1.1737089202
evaluations raw_y
1 1.5762925599
10 1.7531556802
107 1.9500780031
288 2.2935779817
5002 1.4723203769
evaluations raw_y
1 0.8486082824
2 0.8871540099
3 1.0072522160
4 1.2388503469
8 1.4188422247
15 1.7337031900
59 1.8142235123
97 1.9260400616
167 1.9747235387
178 2.0798668885
181 2.1079258010
190 2.1663778163
212 2.2935779817
2624 2.3992322457
5002 1.0407993339
