evaluations raw_y
1 0.9293680297
3 1.0407993339
5 1.1071744907
7 1.5605493134
25 1.5923566879
29 1.7146776406
34 1.7531556802
139 2.0525451560
487 2.5562372188
5002 0.9184423218
evaluations raw_y
1 0.8305647841
2 0.9578544061
5 1.4188422247
7 1.8796992481
196 1.9500780031
1234 2.1663778163
3230 2.2935779817
3482 2.3277467412
4010 2.3629489603
4689 2.4752475248
5002 1.2291052114
evaluations raw_y
1 1.1230907457
4 1.2588116818
12 1.3455328310
16 1.6600265604
18 1.7934002869
24 2.1367521368
89 2.1663778163
96 2.1968365554
5002 1.2195121951
evaluations raw_y
1 0.6645401382
2 1.5299877601
5 1.5605493134
7 1.6087516088
63 1.6600265604
73 1.6778523490
78 1.7531556802
89 1.8796992481
101 2.3992322457
5002 0.5577867024
evaluations raw_y
1 0.7400828893
3 1.0548523207
6 1.3691128149
16 1.5299877601
19 1.6600265604
197 2.0000000000
218 2.3629489603
1330 2.3992322457
5002 0.9405568096
evaluations raw_y
1 0.9578544061
2 1.1071744907
3 1.8573551263
60 1.9500780031
65 1.9747235387
203 2.1079258010
227 2.1968365554
231 2.3992322457
367 2.6427061311
5002 1.1312217195
evaluations raw_y
1 0.8175277959
2 1.2195121951
3 1.2899896801
5 1.3007284079
6 1.5151515152
18 2.0798668885
5002 0.7229612493
evaluations raw_y
1 0.9520182788
2 1.4585764294
3 1.5605493134
4 1.8573551263
53 2.6427061311
1669 2.7839643653
5002 0.7768800497
evaluations raw_y
1 1.3572204126
4 1.4188422247
8 2.2935779817
770 2.3629489603
784 2.4366471735
847 2.6427061311
5002 1.5605493134
evaluations raw_y
1 0.9697439876
2 1.1649580615
7 1.3572204126
15 1.5299877601
20 1.8796992481
1042 1.9747235387
1357 2.1079258010
5002 0.9944311854
evaluations raw_y
1 0.9130752374
2 1.3455328310
21 1.4723203769
33 1.4863258026
38 1.7146776406
41 2.0798668885
431 2.1367521368
891 2.2281639929
995 2.2603978300
1177 2.4752475248
4325 2.5562372188
4451 3.2467532468
5002 1.1563367253
evaluations raw_y
1 0.8486082824
2 1.3007284079
4 1.8355359765
10 1.8796992481
835 2.0525451560
1314 2.2603978300
1654 2.3277467412
1795 2.7839643653
5002 1.1394712853
evaluations raw_y
1 0.8048937540
2 1.0271158587
3 1.1916110582
11 1.2195121951
15 1.3227513228
19 1.6425755585
41 1.8355359765
220 1.8796992481
226 1.9500780031
388 2.1367521368
1583 2.4366471735
5002 0.7654623393
evaluations raw_y
1 1.4863258026
30 1.5006002401
47 1.6087516088
49 1.6254876463
53 1.6425755585
106 1.7146776406
113 1.7337031900
161 1.7531556802
183 1.8573551263
205 2.1663778163
275 2.3629489603
5002 1.0766580534
evaluations raw_y
1 1.3812154696
5 1.4863258026
25 2.1367521368
203 2.5150905433
2062 2.6881720430
5002 1.0204081633
evaluations raw_y
1 1.6960651289
24 2.0525451560
64 2.4366471735
124 2.7352297593
5002 1.4585764294
evaluations raw_y
1 1.1649580615
4 1.4318442153
13 1.5605493134
23 1.6600265604
49 2.0525451560
144 2.1079258010
174 2.4752475248
1186 2.7352297593
5002 1.6778523490
evaluations raw_y
1 1.5006002401
7 1.7146776406
15 1.8573551263
40 2.1663778163
5002 0.8771929825
evaluations raw_y
1 1.4585764294
2 1.8355359765
20 2.2281639929
3089 2.2935779817
4309 2.3629489603
4523 2.5987525988
5002 1.0339123242
evaluations raw_y
1 0.8771929825
2 1.4450867052
11 1.6600265604
95 1.7934002869
150 1.8796992481
166 2.0798668885
224 2.1367521368
249 2.1663778163
349 2.2281639929
5002 1.2794268168
