evaluations raw_y
1 1.1394712853
2 1.2100677638
5 1.6778523490
7 1.7531556802
48 1.7934002869
61 2.0798668885
1270 2.3277467412
1513 2.3629489603
1600 2.5562372188
5000 1.1150758252
evaluations raw_y
1 1.2487512488
7 1.4450867052
21 1.4585764294
22 1.7146776406
71 1.7730496454
73 1.8355359765
74 1.8796992481
130 1.9500780031
181 2.0525451560
207 2.2603978300
1456 2.4752475248
5000 0.8440243079
evaluations raw_y
1 1.0692899914
2 1.4450867052
17 1.5923566879
20 2.2603978300
493 2.3277467412
1298 2.5562372188
1317 2.6881720430
5000 0.9405568096
evaluations raw_y
1 1.6087516088
33 1.7531556802
57 1.7730496454
563 1.7934002869
1015 1.8355359765
1029 1.9025875190
1206 2.0259319287
2087 2.1367521368
2109 2.2281639929
2162 2.2603978300
2168 2.4366471735
2187 3.0562347188
5000 1.3007284079
evaluations raw_y
1 1.1825922422
3 1.4188422247
12 1.6600265604
430 1.7531556802
438 1.8796992481
444 1.9500780031
523 2.0000000000
648 2.0798668885
775 2.1367521368
799 2.1663778163
923 2.1968365554
1004 2.2603978300
1021 2.3277467412
3828 2.3629489603
4246 2.3992322457
4391 2.4366471735
4616 2.6881720430
5000 0.9881422925
evaluations raw_y
1 0.8579272478
2 1.2487512488
3 2.1663778163
3519 2.3277467412
4237 2.3992322457
5000 1.0407993339
evaluations raw_y
1 1.6600265604
25 1.7934002869
817 1.8573551263
967 1.9025875190
1042 1.9747235387
1070 2.2281639929
1127 2.4752475248
5000 0.4865706501
evaluations raw_y
1 1.1649580615
2 1.2291052114
4 1.4450867052
9 1.5151515152
17 1.5762925599
21 1.5923566879
22 1.6254876463
32 1.6600265604
48 1.7337031900
50 2.2935779817
5000 0.9637625289
evaluations raw_y
1 0.5538325210
2 0.7846829881
3 1.0692899914
4 1.5151515152
9 1.5923566879
15 1.6960651289
33 2.0525451560
60 2.3277467412
694 2.4366471735
2800 2.8344671202
4553 2.9411764706
5000 0.7297139521
evaluations raw_y
1 1.0993843448
2 1.2388503469
6 2.0000000000
58 2.1079258010
342 2.2281639929
757 2.3629489603
1323 2.4366471735
1567 2.4752475248
2976 2.5150905433
5000 0.6507027590
evaluations raw_y
1 1.2690355330
3 1.3227513228
4 1.5299877601
5 1.7730496454
27 1.8796992481
91 2.0000000000
1123 2.0259319287
1428 2.1968365554
1452 2.2935779817
1595 2.3629489603
1839 2.6427061311
5000 0.7692307692
evaluations raw_y
1 1.3455328310
18 1.7146776406
225 1.9500780031
1595 2.5150905433
1895 2.6427061311
5000 1.1737089202
evaluations raw_y
1 1.3007284079
3 1.3572204126
4 1.7730496454
33 2.3277467412
3052 2.4366471735
3196 2.5562372188
3900 2.9976019185
5000 0.9944311854
evaluations raw_y
1 0.9881422925
3 1.5923566879
4 1.6778523490
6 2.1367521368
2538 2.7352297593
5000 1.0692899914
evaluations raw_y
1 1.1478420569
8 1.5451174289
12 2.1663778163
774 2.1968365554
795 2.3992322457
803 2.4366471735
2110 2.5150905433
5000 1.0620220901
evaluations raw_y
1 0.7654623393
2 1.2794268168
7 1.3116474292
8 1.3227513228
9 1.5605493134
19 2.4366471735
3388 2.4752475248
4342 2.7839643653
5000 0.8922198430
evaluations raw_y
1 0.8048937540
2 1.4188422247
3 1.4450867052
22 1.4723203769
32 1.6960651289
51 1.7934002869
206 1.8355359765
210 1.8796992481
379 1.9260400616
385 1.9500780031
399 1.9747235387
422 2.2603978300
1366 2.2935779817
3019 2.4366471735
5000 1.1394712853
evaluations raw_y
1 0.8218277449
3 0.8440243079
4 0.9819324430
6 1.2291052114
8 1.3340448239
15 1.4318442153
16 1.4863258026
26 1.8796992481
53 2.2281639929
70 2.2935779817
86 2.3277467412
119 2.7352297593
143 2.9976019185
5000 1.2690355330
evaluations raw_y
1 0.8440243079
2 1.2899896801
14 1.3340448239
19 1.5006002401
23 1.7337031900
29 2.2281639929
2065 2.6881720430
5000 0.9819324430
evaluations raw_y
1 0.5960896519
2 1.2588116818
3 1.3007284079
10 1.6960651289
32 2.0525451560
37 2.1079258010
46 2.3992322457
83 2.5562372188
1907 2.7352297593
5000 1.0204081633
