evaluations raw_y
1 1.5299877601
8 1.5762925599
14 2.4366471735
3879 2.7352297593
5002 0.9637625289
evaluations raw_y
1 1.5923566879
34 1.6425755585
53 1.7337031900
258 1.7531556802
272 2.0259319287
447 2.0798668885
467 2.2281639929
470 2.5987525988
5002 0.9349289454
evaluations raw_y
1 0.7886435331
2 1.0008006405
3 1.2195121951
7 1.6254876463
40 1.8142235123
131 1.8573551263
323 1.9260400616
389 1.9500780031
436 1.9747235387
631 2.0000000000
737 2.0798668885
771 2.1968365554
2186 2.2603978300
4461 2.2935779817
5002 0.7365939894
evaluations raw_y
1 1.3227513228
2 1.7934002869
55 2.0525451560
98 2.1079258010
5002 1.0692899914
evaluations raw_y
1 1.3455328310
13 1.4450867052
17 1.5299877601
28 1.6254876463
48 1.6425755585
62 2.0000000000
366 2.0798668885
625 2.1663778163
682 2.1968365554
1612 2.2281639929
2070 2.2603978300
2159 2.5150905433
3627 2.5562372188
5002 1.1394712853
evaluations raw_y
1 1.2007684918
12 1.4723203769
16 1.6087516088
22 1.6600265604
35 2.0259319287
864 2.0525451560
920 2.5987525988
5002 0.7966857871
evaluations raw_y
1 1.5151515152
6 1.5451174289
20 1.6425755585
162 1.9747235387
361 2.2935779817
1012 2.3277467412
3405 2.6881720430
5002 1.1230907457
evaluations raw_y
1 1.1394712853
5 1.1563367253
8 1.2487512488
9 1.6087516088
12 1.9747235387
46 2.0259319287
122 2.1663778163
1149 2.2603978300
1722 2.6427061311
2065 2.7839643653
5002 1.1230907457
evaluations raw_y
1 1.1825922422
6 1.3691128149
9 1.7146776406
13 2.0259319287
29 2.2281639929
403 2.5150905433
811 2.7352297593
2448 2.8344671202
5002 1.7730496454
evaluations raw_y
1 1.3340448239
3 1.4863258026
11 1.5451174289
13 1.5605493134
23 1.6087516088
45 2.3629489603
520 2.3992322457
4546 2.6427061311
5002 1.0204081633
evaluations raw_y
1 1.4585764294
6 1.5605493134
7 1.5762925599
667 1.6254876463
677 1.7337031900
696 1.7531556802
794 1.7730496454
802 2.2935779817
1119 2.4752475248
3651 2.6427061311
3850 2.7352297593
5002 1.0620220901
evaluations raw_y
1 1.1478420569
2 1.9500780031
1831 2.0000000000
2073 2.1367521368
2406 2.3277467412
2487 2.3629489603
3064 2.5150905433
3366 2.5987525988
4142 2.7839643653
5002 1.0008006405
evaluations raw_y
1 1.1230907457
2 1.4188422247
9 2.1968365554
301 2.3629489603
524 2.3992322457
548 2.4752475248
994 2.8344671202
5002 0.6909894970
evaluations raw_y
1 0.8579272478
2 1.1737089202
3 1.4188422247
5 1.4723203769
7 2.0000000000
139 2.5150905433
1030 2.5562372188
2982 2.8344671202
5002 1.3572204126
evaluations raw_y
1 0.9130752374
2 1.2195121951
4 1.2487512488
7 1.2690355330
8 1.4723203769
246 1.5605493134
321 1.6087516088
470 1.6425755585
682 1.6960651289
735 1.7337031900
749 2.1968365554
788 2.2603978300
876 2.4752475248
969 2.7352297593
5002 0.8007687380
evaluations raw_y
1 1.2100677638
2 1.2899896801
4 1.6254876463
27 1.7531556802
41 2.0000000000
199 2.0259319287
744 2.1079258010
895 2.5150905433
1989 2.6881720430
5002 0.9025270758
evaluations raw_y
1 1.4585764294
7 1.5151515152
10 1.6254876463
18 1.7531556802
24 1.8796992481
40 2.0000000000
46 2.0525451560
64 2.0798668885
72 2.1079258010
618 2.3992322457
2898 2.8344671202
5002 0.9637625289
evaluations raw_y
1 0.7002801120
2 1.7146776406
230 1.8796992481
1225 2.1079258010
1357 2.2281639929
1889 2.3629489603
3055 2.5150905433
5002 0.6731287022
evaluations raw_y
1 1.0548523207
2 1.7934002869
3 1.8573551263
42 2.0798668885
89 2.1079258010
1056 2.3992322457
1190 2.4366471735
3457 2.5150905433
4191 2.5562372188
5002 1.0692899914
evaluations raw_y
1 0.7331378299
2 1.4585764294
13 1.6425755585
49 1.8796992481
112 1.9260400616
113 2.0000000000
273 2.1079258010
622 2.2603978300
1284 2.4366471735
3961 2.6427061311
5002 0.5087505088
