evaluations raw_y
1 1.2690355330
3 1.3227513228
7 1.3572204126
9 1.5299877601
12 2.0798668885
566 2.4752475248
1809 2.5987525988
5002 1.0993843448
evaluations raw_y
1 1.0204081633
2 1.8142235123
47 2.0798668885
294 2.1663778163
453 2.3277467412
816 2.5562372188
5002 1.0271158587
evaluations raw_y
1 0.5330490405
2 1.1150758252
4 1.6778523490
33 2.0525451560
62 2.0798668885
5002 0.9944311854
evaluations raw_y
1 0.5871301080
2 0.7098239637
3 0.9881422925
5 1.4585764294
10 2.0525451560
621 2.0798668885
628 2.3277467412
2613 2.3629489603
2823 2.4366471735
3746 2.8344671202
5002 1.2100677638
evaluations raw_y
1 0.7436049970
2 1.2388503469
3 1.3691128149
5 1.5006002401
16 1.7337031900
94 2.6881720430
3853 3.1806615776
5002 0.7163323782
evaluations raw_y
1 1.4060742407
4 1.9500780031
15 1.9747235387
144 2.1663778163
2515 2.3629489603
4018 2.4752475248
4924 2.7352297593
5002 1.0407993339
evaluations raw_y
1 0.6076810890
2 1.2487512488
7 1.3572204126
9 1.4060742407
15 1.4318442153
17 1.4450867052
30 1.7531556802
92 2.3277467412
499 2.4752475248
2931 2.5150905433
3750 2.5562372188
5002 0.8132726090
evaluations raw_y
1 1.0339123242
3 1.4318442153
30 1.7531556802
70 1.7934002869
144 1.9025875190
328 1.9500780031
412 2.0259319287
503 2.2281639929
628 2.2603978300
1421 2.4366471735
3262 2.4752475248
4129 2.5987525988
5002 1.1737089202
evaluations raw_y
1 1.0692899914
3 1.0917030568
4 1.5299877601
14 1.6600265604
44 1.7146776406
47 1.8355359765
52 1.9025875190
78 2.0000000000
148 2.3629489603
2641 2.7839643653
5002 1.5923566879
evaluations raw_y
1 0.7846829881
2 0.9462528388
4 1.4585764294
16 1.6425755585
39 2.1367521368
478 2.2603978300
2363 2.2935779817
2733 2.3629489603
3504 2.3992322457
3533 2.4366471735
4310 2.5987525988
5002 1.1563367253
evaluations raw_y
1 1.1825922422
4 1.3572204126
5 1.3812154696
12 1.4585764294
15 1.6960651289
103 1.9500780031
200 2.0000000000
232 2.5987525988
1109 2.7839643653
5002 0.6426735219
evaluations raw_y
1 1.0407993339
2 1.1312217195
3 1.2899896801
4 1.7146776406
21 1.9025875190
80 1.9260400616
268 1.9747235387
524 2.1367521368
567 2.3277467412
581 2.3629489603
1639 2.3992322457
1687 2.8868360277
5002 0.7130633200
evaluations raw_y
1 1.2100677638
4 1.8796992481
75 2.0000000000
275 2.0259319287
311 2.1079258010
390 2.2603978300
1378 2.5987525988
5002 1.0766580534
evaluations raw_y
1 1.2588116818
8 1.5299877601
10 1.6254876463
40 1.9500780031
59 2.6427061311
1087 2.7352297593
4281 2.8344671202
5002 0.9881422925
evaluations raw_y
1 1.9500780031
85 2.0259319287
109 2.3629489603
1377 2.4366471735
4620 2.9976019185
5002 0.9462528388
evaluations raw_y
1 0.9881422925
2 1.2899896801
3 1.4863258026
13 1.8796992481
39 2.0525451560
114 2.3992322457
639 2.5987525988
3281 2.9411764706
5002 1.0620220901
evaluations raw_y
1 1.0841283608
2 1.3007284079
3 2.1079258010
5002 0.3905029678
evaluations raw_y
1 0.8440243079
2 0.8973438622
3 0.9238728751
5 1.9260400616
287 2.0259319287
441 2.0525451560
468 2.1663778163
543 2.2281639929
544 2.3277467412
550 2.6881720430
580 2.8868360277
5002 1.2899896801
evaluations raw_y
1 0.9758001561
2 1.3935340022
24 1.6600265604
94 2.3277467412
1426 2.5562372188
5002 1.2690355330
evaluations raw_y
1 1.1916110582
3 1.3572204126
4 1.4863258026
14 1.7730496454
47 2.1079258010
716 2.3992322457
1024 2.5562372188
1395 2.6881720430
5002 0.6673785371
