evaluations raw_y
1 0.7471607890
2 1.3455328310
9 1.6960651289
18 1.9260400616
38 2.0000000000
89 2.1079258010
136 2.3992322457
173 2.5562372188
5005 0.8261731659
evaluations raw_y
1 1.2487512488
4 1.5299877601
12 1.7146776406
22 1.7730496454
25 1.9747235387
136 2.0525451560
826 2.2603978300
1354 2.3277467412
2360 2.5562372188
3103 2.8868360277
5005 1.2007684918
evaluations raw_y
1 0.8305647841
2 1.7146776406
15 1.8573551263
80 2.0798668885
5005 1.1478420569
evaluations raw_y
1 1.3691128149
2 1.6960651289
83 1.7934002869
104 1.8355359765
460 2.1079258010
5005 1.1478420569
evaluations raw_y
1 0.9637625289
2 1.1150758252
7 1.2007684918
8 1.2588116818
18 1.3455328310
20 1.4723203769
28 1.4863258026
36 1.5762925599
45 1.6087516088
47 1.9260400616
53 2.0798668885
119 2.1663778163
1662 2.2935779817
1724 2.3992322457
5005 1.2487512488
evaluations raw_y
1 1.5151515152
4 1.5923566879
52 1.7531556802
103 1.9025875190
210 2.0259319287
4006 2.0798668885
4471 2.1663778163
4651 2.6881720430
5005 1.0548523207
evaluations raw_y
1 1.2690355330
8 1.2794268168
12 1.6425755585
24 1.6778523490
57 1.9747235387
84 2.0798668885
5005 1.3116474292
evaluations raw_y
1 1.0137875101
2 1.0339123242
3 1.2487512488
6 1.7337031900
18 1.7531556802
20 2.0000000000
63 2.2603978300
3510 2.5562372188
4612 2.6881720430
5005 1.2291052114
evaluations raw_y
1 1.2690355330
2 1.5923566879
34 1.6254876463
36 1.8142235123
54 2.0000000000
71 2.1367521368
1347 2.2281639929
1478 2.2935779817
1964 2.3992322457
5005 1.0841283608
evaluations raw_y
1 1.6254876463
24 1.6778523490
51 1.7531556802
155 1.8796992481
369 2.0798668885
2249 2.4366471735
3836 2.7352297593
5005 1.4723203769
evaluations raw_y
1 1.0548523207
2 1.3007284079
5 1.3340448239
7 1.3572204126
12 2.0000000000
173 2.0259319287
2053 2.0525451560
2059 2.1968365554
3025 2.3277467412
5005 1.5151515152
evaluations raw_y
1 0.6534239415
2 1.7934002869
3637 1.9025875190
3649 1.9747235387
3671 2.2281639929
5005 1.6778523490
evaluations raw_y
1 1.1394712853
2 1.2007684918
4 1.6425755585
8 1.6600265604
36 2.6881720430
5005 0.8871540099
evaluations raw_y
1 1.0008006405
4 1.1916110582
7 2.1367521368
129 2.5150905433
5005 1.2487512488
evaluations raw_y
1 0.7196315486
2 0.8007687380
3 1.2100677638
4 1.5299877601
14 2.0525451560
5005 1.1312217195
evaluations raw_y
1 0.9697439876
2 1.3691128149
5 1.9747235387
15 2.3277467412
5005 0.7331378299
evaluations raw_y
1 1.1478420569
3 1.1916110582
6 1.6960651289
10 1.7531556802
115 1.8355359765
131 2.0000000000
132 2.3277467412
5005 0.9462528388
evaluations raw_y
1 1.7531556802
92 1.8573551263
1879 1.9747235387
2120 2.0259319287
2134 2.0525451560
5005 0.8674531575
evaluations raw_y
1 0.2969826562
2 1.1563367253
6 1.7146776406
37 1.8796992481
49 2.0798668885
5005 1.4450867052
evaluations raw_y
1 1.4188422247
2 1.6960651289
15 1.7146776406
52 1.8142235123
72 2.2603978300
5005 0.7617306520
