evaluations raw_y
1 0.6426735219
2 1.4863258026
9 1.5151515152
16 1.6778523490
42 1.9747235387
130 2.0525451560
391 2.2603978300
1356 2.2935779817
2052 2.4752475248
2216 2.5150905433
5000 1.3007284079
evaluations raw_y
1 0.8350033400
3 1.3935340022
8 1.4060742407
13 1.8573551263
43 2.5150905433
1521 2.5987525988
4900 2.8868360277
5000 1.2487512488
evaluations raw_y
1 0.6453278265
2 0.9819324430
3 1.2100677638
4 1.6778523490
64 2.1079258010
121 2.2281639929
529 2.5562372188
2123 2.9411764706
2303 2.9976019185
5000 1.2100677638
evaluations raw_y
1 1.0477787091
2 1.4318442153
12 1.4863258026
17 1.7934002869
44 2.0525451560
149 2.0798668885
648 2.1663778163
1564 2.2935779817
1710 2.3277467412
2305 2.3629489603
2797 2.6881720430
5000 1.3116474292
evaluations raw_y
1 0.7436049970
2 0.9077705156
3 1.2487512488
4 1.4188422247
6 1.6600265604
9 2.0798668885
77 2.6427061311
4037 3.0562347188
5000 0.9758001561
evaluations raw_y
1 0.7654623393
2 1.1394712853
4 1.5151515152
21 1.6778523490
45 1.8355359765
48 2.4752475248
258 2.6881720430
5000 0.9578544061
evaluations raw_y
1 1.1478420569
7 1.3935340022
13 1.8142235123
39 2.2281639929
1611 2.3277467412
5000 1.1563367253
evaluations raw_y
1 1.4188422247
6 1.5006002401
13 1.5299877601
15 1.6425755585
31 1.9025875190
98 1.9500780031
101 2.1367521368
509 2.5150905433
2286 3.2467532468
5000 1.4060742407
evaluations raw_y
1 0.7886435331
2 1.0917030568
4 1.2794268168
5 1.3340448239
7 1.7146776406
11 1.8796992481
42 1.9025875190
59 2.0259319287
311 2.2281639929
331 2.2935779817
447 2.3277467412
1124 2.3629489603
1483 2.5562372188
2909 2.7839643653
4034 3.0562347188
5000 0.6222000996
evaluations raw_y
1 1.0692899914
2 1.1230907457
3 1.5762925599
6 1.6600265604
29 1.7337031900
39 2.0798668885
126 2.1367521368
500 2.2281639929
615 2.9411764706
5000 1.5151515152
evaluations raw_y
1 1.0271158587
2 1.8142235123
110 2.0000000000
166 2.3992322457
443 2.7839643653
5000 1.2899896801
evaluations raw_y
1 1.1394712853
2 1.2388503469
9 1.2690355330
11 1.4188422247
12 1.4723203769
19 1.6425755585
43 1.9260400616
139 1.9747235387
261 2.2281639929
321 2.5150905433
2045 2.7352297593
2077 3.4626038781
5000 1.2690355330
evaluations raw_y
1 0.9025270758
4 1.1916110582
7 1.5299877601
9 1.5605493134
18 1.9260400616
50 2.0000000000
120 2.0525451560
665 2.1663778163
733 2.3992322457
1530 2.5150905433
1850 2.6881720430
5000 1.2487512488
evaluations raw_y
1 1.1737089202
5 1.3340448239
12 1.3455328310
22 1.8573551263
59 2.6881720430
1314 2.7839643653
5000 1.3227513228
evaluations raw_y
1 0.7297139521
2 0.8771929825
3 1.0841283608
5 1.4318442153
13 1.4723203769
19 2.0525451560
836 2.3629489603
5000 1.1394712853
evaluations raw_y
1 1.0766580534
3 1.3812154696
5 1.4450867052
31 1.5451174289
43 1.6087516088
45 1.8573551263
113 2.0525451560
122 2.3992322457
753 2.6881720430
5000 0.9819324430
evaluations raw_y
1 1.3935340022
12 1.7531556802
18 2.2935779817
198 2.3629489603
2786 2.4752475248
5000 0.9130752374
evaluations raw_y
1 1.0766580534
2 1.1071744907
3 1.5605493134
11 1.7146776406
30 2.2603978300
39 2.7352297593
5000 0.5893446488
evaluations raw_y
1 0.5827505828
2 0.8350033400
3 1.1649580615
7 1.4450867052
23 1.6087516088
24 1.6425755585
43 1.7730496454
62 2.0000000000
410 2.5987525988
429 2.6881720430
5000 1.0072522160
evaluations raw_y
1 0.4733055661
2 1.3455328310
3 1.7531556802
89 1.9260400616
285 2.0259319287
301 2.0525451560
500 2.1968365554
732 2.3629489603
1527 2.3992322457
1969 2.4366471735
2131 2.4752475248
5000 1.2899896801
