evaluations raw_y
1 0.9130752374
2 1.1825922422
7 1.2007684918
12 1.5151515152
13 1.6600265604
15 1.7531556802
17 1.8355359765
22 2.2281639929
117 2.2603978300
134 2.3992322457
713 2.5150905433
1108 2.5562372188
4019 2.5987525988
5010 0.9025270758
evaluations raw_y
1 0.7297139521
2 1.1394712853
4 1.9025875190
192 2.2603978300
442 2.3629489603
2745 2.5562372188
3237 2.5987525988
4354 2.6881720430
5010 0.7066139062
evaluations raw_y
1 1.3572204126
15 1.4450867052
24 1.8355359765
41 1.9025875190
81 2.0000000000
211 2.0259319287
328 2.1079258010
948 2.2603978300
2003 2.2935779817
4697 2.3629489603
5010 0.5171700455
evaluations raw_y
1 1.0548523207
4 1.5923566879
5 1.8796992481
6 2.2603978300
697 2.3992322457
3992 2.5987525988
5010 1.2794268168
evaluations raw_y
1 1.0072522160
2 1.0548523207
3 1.4450867052
16 1.7730496454
21 1.9025875190
23 2.1968365554
403 2.4752475248
4936 2.7839643653
5010 1.7337031900
evaluations raw_y
1 0.6673785371
2 2.5987525988
3022 2.7352297593
5010 1.3455328310
evaluations raw_y
1 0.8261731659
3 1.0620220901
4 1.2100677638
7 1.4060742407
16 1.6778523490
46 1.7337031900
109 2.3992322457
241 2.8344671202
2276 2.9411764706
5010 1.2588116818
evaluations raw_y
1 1.1071744907
4 1.3455328310
17 1.4060742407
22 1.5006002401
39 1.7730496454
74 1.9500780031
155 2.0525451560
211 2.5150905433
403 2.7839643653
2065 3.3156498674
5010 0.9025270758
evaluations raw_y
1 1.1071744907
2 1.6425755585
27 2.5987525988
5010 0.8007687380
evaluations raw_y
1 1.7146776406
11 1.8796992481
77 2.0259319287
391 2.0798668885
529 2.2935779817
577 2.3629489603
2595 2.3992322457
3563 2.5150905433
5010 1.3812154696
evaluations raw_y
1 1.0841283608
4 1.5151515152
16 2.1968365554
679 2.2281639929
2423 2.2603978300
2498 2.2935779817
2584 2.8344671202
5010 1.6254876463
evaluations raw_y
1 1.0993843448
5 1.4450867052
11 1.5762925599
24 1.5923566879
34 1.7146776406
50 1.9500780031
54 2.0798668885
57 2.3992322457
2160 2.6427061311
2962 3.0562347188
5010 1.5451174289
evaluations raw_y
1 0.7436049970
2 1.3007284079
3 2.0259319287
23 2.0798668885
258 2.3629489603
1465 2.5150905433
4783 2.5987525988
5010 1.0339123242
evaluations raw_y
1 0.9405568096
2 1.7146776406
33 1.7337031900
90 2.0000000000
180 2.1079258010
199 2.3992322457
297 2.6881720430
5010 1.4723203769
evaluations raw_y
1 1.0271158587
5 1.3340448239
13 1.5762925599
16 1.7337031900
22 1.9025875190
210 2.0259319287
533 2.1367521368
537 2.2281639929
2626 2.3277467412
2873 2.5562372188
5010 1.2195121951
evaluations raw_y
1 1.3455328310
2 1.3812154696
6 1.5151515152
20 1.6600265604
50 1.7337031900
55 2.0000000000
57 2.0798668885
269 2.2935779817
902 2.3992322457
1129 2.5987525988
5010 1.4188422247
evaluations raw_y
1 0.8261731659
3 1.5151515152
11 1.5451174289
32 1.5762925599
34 1.7531556802
77 1.8573551263
79 2.0259319287
507 2.0798668885
653 2.3277467412
1349 2.5150905433
4127 2.6881720430
5010 0.8305647841
evaluations raw_y
1 1.4723203769
2 1.7146776406
11 1.9025875190
20 2.1968365554
534 2.2281639929
610 2.3992322457
2165 2.6427061311
3124 2.9411764706
5010 1.0072522160
evaluations raw_y
1 1.1825922422
2 1.2007684918
6 1.3007284079
11 1.3227513228
12 1.4318442153
14 1.7531556802
49 2.0525451560
210 2.2603978300
748 2.5562372188
1583 2.7839643653
5010 1.2100677638
evaluations raw_y
1 1.1312217195
3 1.6087516088
6 1.8355359765
30 2.3277467412
283 2.5150905433
1447 2.9411764706
5010 0.7196315486
