evaluations raw_y
1 1.0620220901
2 1.0692899914
5 1.4863258026
10 1.9747235387
46 2.0259319287
58 2.1079258010
1116 2.1968365554
1134 2.8344671202
5002 0.9025270758
evaluations raw_y
1 1.3007284079
3 1.3572204126
13 1.5605493134
23 1.5762925599
25 1.8796992481
37 2.0798668885
53 2.1968365554
171 2.2935779817
652 2.5150905433
5002 0.9819324430
evaluations raw_y
1 1.2487512488
4 1.2899896801
25 1.4188422247
28 1.6254876463
32 1.8355359765
109 2.1367521368
191 2.5562372188
5002 0.7098239637
evaluations raw_y
1 0.9130752374
2 1.2690355330
7 1.4060742407
9 1.6778523490
14 1.7337031900
48 1.9747235387
66 2.0000000000
192 2.1367521368
515 2.2603978300
2191 2.3992322457
2440 2.5987525988
2621 2.7352297593
5002 1.0407993339
evaluations raw_y
1 0.7436049970
2 1.4863258026
34 1.5923566879
48 1.6960651289
50 1.9500780031
127 2.2281639929
547 2.3629489603
2676 2.7839643653
5002 1.3116474292
evaluations raw_y
1 1.3691128149
14 1.5006002401
19 1.6960651289
279 1.8142235123
282 1.9500780031
399 2.0000000000
511 2.4752475248
725 2.5987525988
3878 3.0562347188
5002 1.0692899914
evaluations raw_y
1 0.7471607890
3 0.9238728751
4 1.2487512488
6 1.3227513228
7 1.5451174289
8 1.6600265604
18 1.7934002869
20 1.9500780031
85 2.1367521368
87 2.2281639929
339 2.4366471735
2170 2.5987525988
3711 2.9411764706
5002 0.6819421713
evaluations raw_y
1 0.9462528388
2 1.2487512488
7 1.2794268168
14 1.3812154696
18 1.4188422247
21 1.4863258026
28 1.7337031900
72 2.2603978300
380 2.2935779817
484 2.4366471735
1268 2.7352297593
5002 1.1394712853
evaluations raw_y
1 0.7730364873
2 0.8486082824
5 1.1563367253
7 1.2100677638
12 1.3455328310
20 1.5923566879
127 1.6960651289
258 1.7934002869
261 2.1367521368
1187 2.5562372188
3847 2.6881720430
4147 2.7839643653
5002 1.3935340022
evaluations raw_y
1 0.8771929825
2 1.1478420569
4 1.3572204126
7 1.5605493134
22 1.7934002869
74 2.3629489603
1831 2.4366471735
2530 2.4752475248
3843 2.5150905433
4068 2.5987525988
5002 0.8973438622
evaluations raw_y
1 1.0477787091
4 1.4450867052
6 1.5151515152
7 1.7730496454
30 1.7934002869
68 1.9260400616
150 2.0259319287
158 2.2603978300
503 2.3277467412
563 2.4366471735
2560 2.5150905433
2632 2.5987525988
5002 1.1649580615
evaluations raw_y
1 1.2794268168
3 1.8142235123
5 1.8573551263
321 2.2281639929
795 2.3277467412
2508 2.3629489603
5002 1.3007284079
evaluations raw_y
1 1.3935340022
6 1.5605493134
7 2.1079258010
218 2.3277467412
244 2.5150905433
3655 2.6427061311
4278 2.7839643653
4385 2.8344671202
5002 1.1071744907
evaluations raw_y
1 1.4188422247
6 1.4723203769
14 1.5605493134
24 1.5762925599
29 1.9500780031
37 2.1079258010
1418 2.2281639929
5002 1.1312217195
evaluations raw_y
1 1.2794268168
2 1.2899896801
9 1.3116474292
11 1.3227513228
17 1.3812154696
45 1.5006002401
61 1.6254876463
110 1.6778523490
123 1.8355359765
174 1.9260400616
177 2.3992322457
417 2.8344671202
5002 1.1563367253
evaluations raw_y
1 1.2588116818
10 1.5006002401
24 1.5605493134
44 1.6960651289
49 1.7730496454
59 2.2281639929
96 2.4366471735
5002 1.3007284079
evaluations raw_y
1 1.1478420569
3 1.3340448239
5 1.4450867052
13 1.9025875190
79 2.3277467412
1451 2.5150905433
5002 1.0137875101
evaluations raw_y
1 1.4585764294
57 1.5762925599
405 1.6960651289
482 1.9747235387
745 2.0525451560
975 2.0798668885
1068 2.2935779817
2134 2.3277467412
2190 2.6427061311
5002 0.6006727535
evaluations raw_y
1 0.9520182788
2 1.0766580534
5 1.1478420569
20 1.1825922422
30 1.2007684918
42 1.2690355330
65 1.5299877601
90 1.7531556802
108 1.9500780031
175 2.0259319287
300 2.2603978300
722 2.2935779817
1043 2.4752475248
3210 2.5150905433
5002 1.0548523207
evaluations raw_y
1 1.1737089202
2 1.2588116818
3 1.4450867052
12 1.4863258026
29 1.5605493134
39 1.5923566879
44 1.6254876463
79 1.7337031900
243 1.8355359765
250 1.8573551263
252 2.1079258010
282 2.3277467412
308 2.8868360277
5002 1.1230907457
