evaluations raw_y
1 0.8486082824
3 0.8973438622
4 1.2100677638
8 1.4188422247
16 1.5923566879
30 1.6600265604
63 1.7730496454
94 1.8142235123
589 2.3629489603
1125 2.6881720430
2043 2.8868360277
3759 3.1172069825
5000 1.3691128149
evaluations raw_y
1 0.7692307692
2 1.2100677638
3 1.3227513228
4 1.3455328310
10 1.5923566879
21 1.7730496454
22 2.0259319287
307 2.0798668885
868 2.1663778163
908 2.2281639929
1519 2.5150905433
5000 1.0137875101
evaluations raw_y
1 1.3812154696
31 1.3935340022
36 1.6087516088
849 1.7337031900
1168 1.7531556802
1173 1.7934002869
1274 1.8355359765
1276 1.9747235387
1285 2.5987525988
2898 2.6881720430
3407 2.9976019185
5000 1.1563367253
evaluations raw_y
1 1.2100677638
4 1.6087516088
25 2.0525451560
36 2.1079258010
68 2.2603978300
228 2.3629489603
295 2.3992322457
312 2.5562372188
2395 2.7839643653
3098 2.9976019185
5000 0.4942665085
evaluations raw_y
1 1.3812154696
9 1.5923566879
12 1.6960651289
15 1.7146776406
17 1.8355359765
715 2.2935779817
864 2.7352297593
4908 2.8344671202
5000 0.5104124132
evaluations raw_y
1 0.8175277959
3 1.0620220901
5 1.3691128149
6 1.4318442153
8 1.5299877601
31 1.6778523490
136 2.1367521368
443 2.2603978300
777 2.4752475248
858 2.6427061311
1211 2.7352297593
5000 1.0204081633
evaluations raw_y
1 0.9025270758
2 1.5605493134
9 1.8573551263
122 1.9025875190
153 1.9747235387
524 2.0000000000
566 2.2935779817
3418 2.3992322457
4739 2.5562372188
5000 1.1150758252
evaluations raw_y
1 1.3007284079
3 1.4060742407
13 1.5762925599
25 1.8796992481
1077 2.0525451560
1550 2.1367521368
2417 2.2603978300
3721 2.3277467412
4195 2.4366471735
5000 0.7886435331
evaluations raw_y
1 0.9405568096
2 1.3935340022
4 1.4450867052
7 1.5299877601
15 2.0259319287
1239 2.1079258010
1322 2.1367521368
1337 2.7352297593
2674 2.8344671202
4402 2.8868360277
5000 0.7331378299
evaluations raw_y
1 1.8796992481
29 1.9025875190
80 2.0525451560
597 2.1367521368
611 2.1663778163
1084 2.4366471735
2028 2.8868360277
5000 1.5451174289
evaluations raw_y
1 1.1150758252
3 1.3227513228
10 1.4188422247
22 1.4450867052
709 1.7146776406
826 1.9025875190
848 2.0259319287
879 2.1968365554
1010 2.5987525988
3668 3.2467532468
5000 0.9637625289
evaluations raw_y
1 1.0548523207
2 1.7531556802
648 1.7730496454
711 2.0000000000
715 2.3277467412
2241 2.3629489603
2387 2.5562372188
5000 1.0407993339
evaluations raw_y
1 0.6909894970
2 1.0008006405
4 1.1150758252
5 1.3340448239
15 2.0000000000
876 2.0798668885
1163 2.3629489603
1272 2.5150905433
2005 2.5987525988
5000 0.9578544061
evaluations raw_y
1 1.1150758252
2 1.1230907457
3 1.4318442153
5 1.4863258026
22 1.5451174289
31 1.5923566879
848 1.6960651289
907 1.8796992481
915 1.9747235387
1037 2.1079258010
1452 2.1663778163
1920 2.2935779817
2375 2.6881720430
5000 1.4863258026
evaluations raw_y
1 1.0008006405
2 1.1071744907
3 1.1478420569
5 1.2388503469
7 1.7730496454
11 1.8142235123
13 1.9025875190
523 1.9747235387
704 2.0259319287
736 2.1079258010
814 2.2935779817
901 2.5987525988
1420 2.6427061311
5000 0.9077705156
evaluations raw_y
1 1.0204081633
2 1.2899896801
10 1.3007284079
15 1.5299877601
25 1.6087516088
29 1.6425755585
44 1.6600265604
562 1.7146776406
571 1.7337031900
669 1.7730496454
681 1.9025875190
721 2.1079258010
1115 2.2935779817
1133 3.7993920973
5000 0.9881422925
evaluations raw_y
1 1.6254876463
10 1.6960651289
32 1.7337031900
43 1.7730496454
46 1.7934002869
67 1.8142235123
206 1.9500780031
452 2.5987525988
5000 0.9238728751
evaluations raw_y
1 1.3007284079
3 1.5605493134
21 1.6254876463
28 1.7146776406
31 1.8142235123
161 1.8573551263
355 2.0798668885
561 2.1367521368
629 2.1968365554
1648 2.2603978300
1998 2.2935779817
2666 2.3277467412
2734 2.7352297593
4351 2.8868360277
5000 1.5151515152
evaluations raw_y
1 0.6197322757
2 1.2195121951
5 1.5762925599
208 1.5923566879
250 1.6087516088
269 1.6960651289
272 1.8796992481
273 2.3277467412
304 2.4752475248
431 2.6881720430
5000 1.0841283608
evaluations raw_y
1 0.8579272478
2 0.9944311854
3 1.6600265604
5 1.8573551263
21 2.0000000000
986 2.5987525988
1714 2.9411764706
5000 0.9881422925
