evaluations raw_y
1 24.0000000000
2 26.0000000000
5 28.0000000000
132 30.0000000000
228 32.0000000000
1267 36.0000000000
1803 38.0000000000
5005 28.0000000000
evaluations raw_y
1 26.0000000000
2 28.0000000000
3 32.0000000000
466 34.0000000000
1803 36.0000000000
4201 38.0000000000
5005 28.0000000000
evaluations raw_y
1 22.0000000000
2 24.0000000000
5 34.0000000000
1306 36.0000000000
3331 38.0000000000
5005 22.0000000000
evaluations raw_y
1 24.0000000000
4 28.0000000000
5 30.0000000000
76 32.0000000000
390 34.0000000000
416 36.0000000000
5005 24.0000000000
evaluations raw_y
1 26.0000000000
2 28.0000000000
8 30.0000000000
14 34.0000000000
5005 22.0000000000
evaluations raw_y
1 22.0000000000
2 24.0000000000
3 26.0000000000
5 32.0000000000
13 34.0000000000
1399 36.0000000000
1679 38.0000000000
5005 24.0000000000
evaluations raw_y
1 18.0000000000
2 28.0000000000
31 30.0000000000
143 32.0000000000
312 36.0000000000
1608 38.0000000000
3959 40.0000000000
5005 20.0000000000
evaluations raw_y
1 30.0000000000
321 32.0000000000
441 34.0000000000
1967 36.0000000000
5005 24.0000000000
evaluations raw_y
1 24.0000000000
2 28.0000000000
3 30.0000000000
91 32.0000000000
277 34.0000000000
1354 36.0000000000
1495 38.0000000000
5005 34.0000000000
evaluations raw_y
1 28.0000000000
2 32.0000000000
110 34.0000000000
320 36.0000000000
1961 38.0000000000
5005 24.0000000000
evaluations raw_y
1 30.0000000000
40 34.0000000000
529 36.0000000000
2409 38.0000000000
5005 18.0000000000
evaluations raw_y
1 26.0000000000
2 28.0000000000
8 34.0000000000
175 36.0000000000
2538 38.0000000000
4638 40.0000000000
5005 30.0000000000
evaluations raw_y
1 22.0000000000
2 26.0000000000
5 32.0000000000
14 34.0000000000
84 36.0000000000
3814 40.0000000000
5005 28.0000000000
evaluations raw_y
1 22.0000000000
3 26.0000000000
4 28.0000000000
5 30.0000000000
80 32.0000000000
234 34.0000000000
468 36.0000000000
3955 38.0000000000
5005 20.0000000000
evaluations raw_y
1 22.0000000000
2 28.0000000000
5 30.0000000000
37 34.0000000000
1261 38.0000000000
5005 22.0000000000
evaluations raw_y
1 24.0000000000
2 26.0000000000
3 28.0000000000
25 30.0000000000
156 32.0000000000
170 34.0000000000
1174 36.0000000000
1881 40.0000000000
5005 24.0000000000
evaluations raw_y
1 24.0000000000
4 28.0000000000
9 30.0000000000
44 32.0000000000
96 34.0000000000
3192 36.0000000000
5005 16.0000000000
evaluations raw_y
1 22.0000000000
2 26.0000000000
5 28.0000000000
23 30.0000000000
283 32.0000000000
372 34.0000000000
757 36.0000000000
5005 26.0000000000
evaluations raw_y
1 22.0000000000
2 26.0000000000
3 28.0000000000
8 30.0000000000
11 34.0000000000
372 36.0000000000
5005 26.0000000000
evaluations raw_y
1 24.0000000000
6 26.0000000000
7 30.0000000000
15 32.0000000000
159 36.0000000000
5005 30.0000000000
