evaluations raw_y
1 0.9881422925
2 1.1394712853
4 1.5299877601
1240 1.7531556802
1251 1.8355359765
1310 1.8796992481
5000 1.3227513228
evaluations raw_y
1 1.3935340022
6 1.5299877601
7 1.6778523490
44 1.8796992481
66 2.0000000000
74 2.1367521368
5000 0.8973438622
evaluations raw_y
1 1.2588116818
2 1.2690355330
3 1.3812154696
4 1.6425755585
7 1.8573551263
847 1.9260400616
865 2.0259319287
874 2.0798668885
877 2.1663778163
912 2.2281639929
2769 2.5150905433
5000 1.1312217195
evaluations raw_y
1 1.4450867052
6 1.4585764294
36 1.5451174289
43 1.6425755585
349 1.7531556802
355 1.8142235123
2130 1.9260400616
2209 2.1367521368
2240 2.2281639929
2244 2.2603978300
2250 2.3629489603
5000 0.5638249887
evaluations raw_y
1 0.9405568096
2 1.3340448239
4 1.7531556802
97 2.1079258010
347 2.1367521368
371 2.1663778163
3556 2.5150905433
5000 1.1825922422
evaluations raw_y
1 0.8440243079
2 1.1737089202
4 1.2100677638
5 1.2899896801
7 1.3935340022
58 1.4450867052
62 1.6087516088
282 1.7934002869
311 1.8355359765
312 2.0259319287
1498 2.1367521368
2243 2.2281639929
2528 2.2603978300
2546 2.3629489603
3039 2.4752475248
3048 2.5150905433
3054 2.5987525988
3056 2.7839643653
5000 1.1478420569
evaluations raw_y
1 0.9349289454
2 1.4450867052
3 2.0259319287
5000 1.0407993339
evaluations raw_y
1 1.3455328310
2 1.6087516088
4 1.6778523490
80 1.8142235123
92 1.8796992481
123 2.4366471735
2184 2.5150905433
3148 2.6881720430
5000 0.9293680297
evaluations raw_y
1 0.9881422925
4 1.0993843448
6 1.3007284079
10 1.3227513228
11 1.5923566879
35 1.6600265604
39 1.9025875190
40 2.2603978300
52 2.2935779817
119 2.3277467412
5000 1.5006002401
evaluations raw_y
1 1.4585764294
203 1.4723203769
252 1.6087516088
281 1.6254876463
940 1.8142235123
957 1.9500780031
988 1.9747235387
1000 2.0525451560
1032 2.1079258010
1732 2.2603978300
3934 2.5150905433
5000 0.8305647841
evaluations raw_y
1 1.1312217195
2 1.6960651289
22 2.0000000000
5000 1.2007684918
evaluations raw_y
1 1.1737089202
2 1.3227513228
3 1.7531556802
33 2.0000000000
39 2.1968365554
573 2.4752475248
2539 2.6427061311
5000 1.4060742407
evaluations raw_y
1 0.9349289454
2 1.1230907457
4 1.5151515152
5 2.0525451560
222 2.1079258010
554 2.5562372188
5000 1.4450867052
evaluations raw_y
1 0.9293680297
3 1.7146776406
2824 1.8796992481
4963 2.1968365554
5000 1.8142235123
evaluations raw_y
1 1.3227513228
3 1.3935340022
4 1.5605493134
9 1.5923566879
13 1.7934002869
611 1.8573551263
618 1.9747235387
3765 2.0259319287
3896 2.1663778163
4694 2.1968365554
5000 1.1478420569
evaluations raw_y
1 1.0204081633
4 1.3340448239
258 1.5451174289
269 1.7730496454
370 1.8142235123
520 2.1367521368
5000 0.9758001561
evaluations raw_y
1 0.6246876562
2 1.0917030568
4 1.2388503469
5 1.2487512488
262 1.3227513228
301 1.4060742407
392 1.6254876463
5000 1.1737089202
evaluations raw_y
1 0.9405568096
2 1.0917030568
3 1.2100677638
4 1.3691128149
34 1.3935340022
95 1.5006002401
98 1.5151515152
135 2.0525451560
2779 2.2281639929
3201 2.5150905433
5000 0.9184423218
evaluations raw_y
1 1.0548523207
3 1.5605493134
5000 0.6849315068
evaluations raw_y
1 1.0204081633
6 1.4450867052
7 1.6254876463
51 1.6778523490
1397 1.6960651289
1423 1.8573551263
1504 2.0798668885
2432 2.1079258010
2512 2.1968365554
2870 2.4366471735
2996 2.4752475248
3039 2.6881720430
5000 1.2899896801
