evaluations raw_y
1 1.4318442153
2 1.8573551263
27 2.0798668885
220 2.1079258010
984 2.1367521368
1215 2.2603978300
1375 2.3992322457
2015 2.5562372188
2427 2.7352297593
5000 0.9819324430
evaluations raw_y
1 0.8440243079
2 0.9819324430
4 1.5605493134
9 1.8573551263
313 1.8796992481
369 2.0798668885
844 2.2603978300
1318 2.2935779817
3162 2.4366471735
5000 0.8626639061
evaluations raw_y
1 0.9025270758
2 0.9462528388
4 1.0620220901
5 1.5451174289
10 1.9025875190
11 1.9260400616
12 2.0259319287
19 2.3277467412
57 2.7839643653
5000 1.4188422247
evaluations raw_y
1 0.5348737698
2 1.0620220901
3 1.2487512488
6 1.3812154696
24 1.5151515152
55 1.5299877601
68 1.8796992481
81 2.1663778163
178 2.8344671202
5000 1.8796992481
evaluations raw_y
1 0.7926442613
2 1.2899896801
13 1.3227513228
25 1.8355359765
82 1.8573551263
89 1.9747235387
260 2.0259319287
361 2.3277467412
894 2.7352297593
3858 2.7839643653
5000 0.7886435331
evaluations raw_y
1 1.8796992481
189 1.9260400616
206 2.1367521368
262 2.5150905433
698 2.6427061311
1584 2.6881720430
5000 1.1563367253
evaluations raw_y
1 1.3227513228
4 1.3572204126
8 1.5006002401
23 1.7730496454
63 1.9747235387
280 2.0000000000
663 2.0798668885
771 2.3277467412
1883 2.5150905433
1938 2.6427061311
3462 2.7352297593
5000 1.1825922422
evaluations raw_y
1 1.0548523207
3 1.1312217195
4 1.5451174289
9 1.6425755585
15 1.6778523490
37 1.9500780031
82 2.0798668885
204 2.5987525988
5000 1.1825922422
evaluations raw_y
1 0.5763024435
2 1.8573551263
3 1.8796992481
66 1.9025875190
117 2.0798668885
200 2.1079258010
362 2.2281639929
609 2.3277467412
771 2.3629489603
1653 2.4366471735
1838 2.4752475248
1891 2.5150905433
5000 0.8090614887
evaluations raw_y
1 1.2100677638
2 1.2291052114
3 1.3340448239
10 1.3572204126
11 1.9260400616
16 2.1968365554
645 2.4752475248
1926 2.8868360277
4414 3.1172069825
5000 1.0620220901
evaluations raw_y
1 1.0407993339
2 1.2291052114
4 1.3812154696
16 1.5006002401
17 2.0798668885
411 2.2281639929
3244 2.2603978300
4490 2.3629489603
4880 2.4752475248
5000 1.7934002869
evaluations raw_y
1 0.7543753772
2 1.6600265604
29 1.9747235387
361 2.1968365554
1088 2.2281639929
1258 2.2603978300
1507 2.3992322457
2822 2.4752475248
5000 0.8175277959
evaluations raw_y
1 1.3007284079
2 1.3455328310
3 1.3572204126
4 1.4450867052
7 1.6254876463
40 1.6600265604
49 1.7337031900
54 1.8142235123
78 2.5150905433
3539 2.5987525988
4388 2.8344671202
5000 0.9637625289
evaluations raw_y
1 2.1663778163
528 2.5562372188
2225 2.9411764706
5000 1.1312217195
evaluations raw_y
1 0.9944311854
2 1.3227513228
9 1.3812154696
12 1.8796992481
167 1.9500780031
207 1.9747235387
472 2.0000000000
908 2.0525451560
932 2.1367521368
1021 2.6881720430
5000 0.9819324430
evaluations raw_y
1 1.4450867052
3 1.9747235387
165 2.1367521368
1112 2.2935779817
1191 2.3277467412
1390 2.3629489603
2082 2.4752475248
4347 2.5987525988
5000 0.4621072089
evaluations raw_y
1 1.4188422247
2 1.7934002869
28 1.8355359765
36 1.8573551263
46 1.9260400616
325 2.0798668885
529 2.1367521368
699 2.3277467412
1534 3.3156498674
5000 1.2794268168
evaluations raw_y
1 0.9130752374
2 1.2388503469
8 1.6425755585
15 2.0525451560
138 2.1663778163
644 2.5562372188
5000 0.9697439876
evaluations raw_y
1 0.6617257808
2 1.5451174289
7 1.9025875190
23 2.1367521368
56 2.2935779817
256 2.3277467412
1158 2.4752475248
3486 2.5562372188
5000 0.8048937540
evaluations raw_y
1 0.7730364873
3 1.5762925599
4 1.7730496454
7 1.8355359765
19 1.9260400616
57 2.1079258010
437 2.1367521368
814 2.1663778163
941 2.2281639929
1086 2.5150905433
3697 2.7352297593
5000 1.6600265604
