evaluations raw_y
1 1.2100677638
3 1.5299877601
4 1.6778523490
92 1.6960651289
105 1.8142235123
199 1.8796992481
246 2.1367521368
251 2.3629489603
1465 2.5150905433
3752 2.5562372188
5000 1.4318442153
evaluations raw_y
1 1.3812154696
4 1.8573551263
30 1.9747235387
97 2.2281639929
190 2.2603978300
236 2.3629489603
2965 2.5987525988
5000 1.3935340022
evaluations raw_y
1 0.9184423218
2 1.3340448239
3 1.5762925599
40 1.7934002869
149 1.8355359765
1153 2.0000000000
1190 2.0259319287
1637 2.3277467412
3943 2.3992322457
5000 1.0271158587
evaluations raw_y
1 0.6297229219
2 1.2007684918
3 1.3455328310
6 1.5605493134
7 1.6087516088
10 1.6960651289
36 1.9747235387
56 2.0000000000
314 2.2603978300
5000 1.2007684918
evaluations raw_y
1 1.1150758252
14 1.3455328310
36 1.4318442153
46 1.6254876463
66 1.7146776406
104 1.7934002869
192 1.8573551263
408 1.9260400616
551 2.2281639929
649 2.2935779817
930 2.3277467412
5000 1.3572204126
evaluations raw_y
1 1.2100677638
2 1.2794268168
3 1.3691128149
9 1.4450867052
11 1.5006002401
19 1.5151515152
27 1.9025875190
127 2.0259319287
706 2.1079258010
738 2.1663778163
904 2.2935779817
1471 2.3277467412
5000 1.2007684918
evaluations raw_y
1 1.3340448239
2 1.6254876463
13 1.7730496454
22 1.8355359765
166 1.8796992481
169 2.1663778163
345 2.3992322457
5000 0.5805852299
evaluations raw_y
1 0.9578544061
2 1.0008006405
4 2.2603978300
5000 1.1478420569
evaluations raw_y
1 1.6960651289
28 1.9025875190
65 2.2603978300
185 2.3992322457
5000 1.2588116818
evaluations raw_y
1 1.2588116818
4 1.9025875190
21 2.1663778163
31 2.2935779817
1281 2.5987525988
5000 1.6425755585
evaluations raw_y
1 0.5741846578
2 1.3116474292
3 1.5151515152
7 1.8573551263
8 2.0000000000
150 2.2281639929
5000 1.2487512488
evaluations raw_y
1 1.3116474292
2 1.3340448239
6 1.5451174289
13 1.6600265604
18 1.6960651289
135 1.7146776406
139 1.7934002869
141 2.0798668885
578 2.2281639929
1052 2.6427061311
3611 2.8868360277
5000 1.0072522160
evaluations raw_y
1 1.0339123242
2 1.2487512488
3 1.2588116818
5 1.6778523490
15 1.7337031900
16 1.8573551263
26 1.9260400616
300 1.9747235387
541 2.1079258010
1176 2.2935779817
1504 2.3992322457
1643 2.6881720430
5000 1.0407993339
evaluations raw_y
1 1.3340448239
4 1.5151515152
7 1.6254876463
9 1.6425755585
79 1.8142235123
406 1.8355359765
959 1.9025875190
961 2.0525451560
990 2.1367521368
992 2.2281639929
1165 2.2603978300
3096 2.3629489603
5000 1.0339123242
evaluations raw_y
1 1.1563367253
3 1.8796992481
8 1.9025875190
24 1.9260400616
309 1.9500780031
387 1.9747235387
395 2.1079258010
429 2.1968365554
5000 1.1563367253
evaluations raw_y
1 1.0477787091
3 1.0766580534
6 1.4060742407
7 1.5605493134
41 2.0000000000
203 2.2281639929
485 2.3629489603
1802 2.5562372188
5000 0.6076810890
evaluations raw_y
1 0.8394895903
2 1.2899896801
5 1.3935340022
6 1.4450867052
15 1.5151515152
25 1.6600265604
58 1.6778523490
110 2.0259319287
113 2.1367521368
863 2.3277467412
2004 2.9976019185
5000 1.5605493134
evaluations raw_y
1 0.7617306520
2 1.0692899914
3 1.6778523490
20 1.7531556802
28 1.8142235123
39 1.9747235387
114 2.5562372188
1960 2.5987525988
2327 3.0562347188
5000 0.8871540099
evaluations raw_y
1 0.7807620237
2 1.2388503469
4 1.3691128149
9 1.3812154696
116 1.5299877601
181 1.5923566879
1400 1.6425755585
1475 1.6778523490
1520 1.6960651289
1547 1.7146776406
1559 1.7337031900
1578 1.8796992481
5000 0.7846829881
evaluations raw_y
1 0.7034327518
2 1.0339123242
6 1.2794268168
10 1.6778523490
22 1.6960651289
91 1.7146776406
128 2.0798668885
151 2.1367521368
736 2.2603978300
974 2.3277467412
980 2.3629489603
4124 2.5150905433
4599 2.5987525988
5000 1.2588116818
